station,PumpCycle,CO2_umol,closest_hour,month,diff_umol,ebul_umol,date,flux_unit
1,54,885.2116564814816,2022-05-21T20:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
1,55,421.7733485145326,2022-05-21T21:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
1,56,1084.835888109659,2022-05-21T22:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
1,57,1287.6679169497277,2022-05-21T23:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
1,58,1842.346974820217,2022-05-22T00:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,59,2226.0813622755063,2022-05-22T01:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,60,2240.884202911741,2022-05-22T02:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,61,2271.068250051096,2022-05-22T04:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,62,2607.733777497154,2022-05-22T05:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,63,2360.32918098231,2022-05-22T06:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,64,2509.0224424019734,2022-05-22T07:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,65,3613.641426850344,2022-05-22T08:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,66,4866.449702424917,2022-05-22T09:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,67,5664.684816202908,2022-05-22T10:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,68,5413.423028008502,2022-05-22T11:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,69,4487.605459878412,2022-05-22T12:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,70,4702.653989641882,2022-05-22T13:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,71,3207.825164435284,2022-05-22T14:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,72,2506.075652132206,2022-05-22T15:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,73,1745.2916719405491,2022-05-22T16:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,74,1557.5528382198763,2022-05-22T17:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,75,442.91392621036414,2022-05-22T18:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,76,457.1977685738513,2022-05-22T20:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,77,NA,2022-05-22T21:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,78,412.7377811989065,2022-05-22T22:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,79,614.7004521190693,2022-05-22T23:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
1,80,641.1027750267382,2022-05-23T00:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,81,1746.680262097709,2022-05-23T01:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,82,2044.0478522917488,2022-05-23T02:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,83,1764.032731083796,2022-05-23T03:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,84,2225.98011307301,2022-05-23T04:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,85,2509.4250040715365,2022-05-23T05:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,86,2581.069529735556,2022-05-23T06:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,87,3072.49156122355,2022-05-23T07:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,88,3641.274832240116,2022-05-23T08:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,89,4868.180293972596,2022-05-23T09:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,90,4818.644531391533,2022-05-23T10:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
1,91,5218.578905018215,2022-05-23T12:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
