x,y,dist
704075.3351489706,6209369.308352786,3.924264068711883
704075.4351489706,6209369.308352786,3.9656854249491764
704075.5351489705,6209369.308352786,4.00710678118647
704082.9351489706,6209369.308352786,4.748528137423761
704083.0351489705,6209369.308352786,4.707106781186467
704075.2351489706,6209369.2083527865,3.9828427124745893
704075.3351489706,6209369.2083527865,4.024264068711883
704075.4351489706,6209369.2083527865,4.0656854249491765
704075.5351489705,6209369.2083527865,4.107106781186469
704082.8351489706,6209369.2083527865,4.889949493661054
704082.9351489706,6209369.2083527865,4.84852813742376
704083.0351489705,6209369.2083527865,4.807106781186467
704083.1351489706,6209369.2083527865,4.765685424949174
704075.2351489706,6209369.108352786,4.082842712474589
704075.3351489706,6209369.108352786,4.124264068711883
704075.4351489706,6209369.108352786,4.165685424949176
704075.5351489705,6209369.108352786,4.207106781186469
704075.6351489706,6209369.108352786,4.2485281374237625
704082.6351489706,6209369.108352786,5.041421356237292
704082.7351489706,6209369.108352786,5.031370849898347
704082.8351489706,6209369.108352786,4.989949493661054
704082.9351489706,6209369.108352786,4.94852813742376
704083.0351489705,6209369.108352786,4.907106781186466
704083.1351489706,6209369.108352786,4.865685424949174
704075.1351489706,6209369.008352786,4.141421356237295
704075.2351489706,6209369.008352786,4.182842712474589
704075.3351489706,6209369.008352786,4.224264068711882
704075.5351489705,6209369.008352786,4.3071067811864685
704075.6351489706,6209369.008352786,4.348528137423762
704082.5351489705,6209369.008352786,5.099999999999998
704082.6351489706,6209369.008352786,5.1414213562372915
704082.7351489706,6209369.008352786,5.131370849898347
704082.8351489706,6209369.008352786,5.089949493661053
704083.0351489705,6209369.008352786,5.007106781186466
704083.1351489706,6209369.008352786,4.965685424949173
704072.7351489706,6209368.908352786,3.8656854249491763
704072.8351489706,6209368.908352786,3.8242640687118827
704072.9351489706,6209368.908352786,3.782842712474589
704073.0351489705,6209368.908352786,3.7414213562372955
704073.1351489706,6209368.908352786,3.700000000000002
704073.2351489706,6209368.908352786,3.7414213562372955
704073.3351489706,6209368.908352786,3.782842712474589
704073.4351489706,6209368.908352786,3.8242640687118827
704073.5351489705,6209368.908352786,3.8656854249491763
704075.0351489705,6209368.908352786,4.200000000000001
704075.1351489706,6209368.908352786,4.241421356237295
704075.2351489706,6209368.908352786,4.282842712474588
704075.5351489705,6209368.908352786,4.407106781186468
704075.6351489706,6209368.908352786,4.448528137423762
704082.3351489706,6209368.908352786,5.282842712474585
704082.4351489706,6209368.908352786,5.241421356237291
704082.5351489705,6209368.908352786,5.1999999999999975
704082.6351489706,6209368.908352786,5.241421356237291
704082.7351489706,6209368.908352786,5.2313708498983464
704083.0351489705,6209368.908352786,5.107106781186466
704083.1351489706,6209368.908352786,5.065685424949173
704072.7351489706,6209368.808352786,3.9656854249491764
704072.8351489706,6209368.808352786,3.924264068711883
704072.9351489706,6209368.808352786,3.8828427124745892
704073.0351489705,6209368.808352786,3.8414213562372956
704073.1351489706,6209368.808352786,3.800000000000002
